taxonomy_category,taxonomy_term,definition_or_notes,raw_row
LLM Taxonomy,Lifecycle,Lifecycle L2,Lifecycle | Lifecycle L2
LLM Taxonomy,Preparation,"This phase lays the foundation for the entire LLM development process and greatly influences the model's quality and ethical behavior. It begins with careful data considerations | Data Collection | should focus on identifying diverse, sufficiently large, high-quality data sources (text, code, etc.) that align with the LLM's purpose. Ethical sourcing practices and potential biases in the data must be considered. It's important to determine the data needed for effective training and ensure it reflects the real-world contexts where the LLM will be deployed to avoid biased or discriminatory outputs.","Preparation | This phase lays the foundation for the entire LLM development process and greatly influences the model's quality and ethical behavior. It begins with careful data considerations | Data Collection | should focus on identifying diverse, sufficiently large, high-quality data sources (text, code, etc.) that align with the LLM's purpose. Ethical sourcing practices and potential biases in the data must be considered. It's important to determine the data needed for effective training and ensure it reflects the real-world contexts where the LLM will be deployed to avoid biased or discriminatory outputs."
LLM Taxonomy,Data Curation,"is the process that enhances data quality. This includes cleaning (removing errors, inconsistencies, and irrelevant information), categorization (organizing data by logical topics or themes), classification (assigning labels for supervised learning), labeling, anonymization, and transformation (changing data formats for compatibility).","Data Curation | is the process that enhances data quality. This includes cleaning (removing errors, inconsistencies, and irrelevant information), categorization (organizing data by logical topics or themes), classification (assigning labels for supervised learning), labeling, anonymization, and transformation (changing data formats for compatibility)."
LLM Taxonomy,Data Storage,must ensure accessibility through solutions like databases or cloud storage services while prioritizing strong security measures to protect sensitive data and comply with privacy regulations.,Data Storage | must ensure accessibility through solutions like databases or cloud storage services while prioritizing strong security measures to protect sensitive data and comply with privacy regulations.
LLM Taxonomy,Resource Provisioning,"in the preparation phase involves selecting appropriate compute and cloud resources. Hardware choices should consider processors (CPUs, GPUs, TPUs) and memory-optimized for the LLM, while software selections include reliable operating systems, libraries, and programming languages suitable for LLM development. Cloud infrastructure might be leveraged for scalability, flexibility, and cost efficiency.","Resource Provisioning | in the preparation phase involves selecting appropriate compute and cloud resources. Hardware choices should consider processors (CPUs, GPUs, TPUs) and memory-optimized for the LLM, while software selections include reliable operating systems, libraries, and programming languages suitable for LLM development. Cloud infrastructure might be leveraged for scalability, flexibility, and cost efficiency."
LLM Taxonomy,Team and Expertise,"Data scientists gather, process, and analyze data, machine learning engineers design and fine-tune the LLM, software developers create necessary tools, linguists offer language expertise, and ethicists evaluate the model's social impacts and ways to mitigate risks.","Team and Expertise | Data scientists gather, process, and analyze data, machine learning engineers design and fine-tune the LLM, software developers create necessary tools, linguists offer language expertise, and ethicists evaluate the model's social impacts and ways to mitigate risks."
LLM Taxonomy,Development,"This phase transforms the prepared data and computational resources into a functional LLM | Design | Model Architecture: Choose a suitable LLM architecture (e.g., Transformer-based, Recurrent Neural Networks) based on the model's intended tasks. Consider factors like performance requirements, computational constraints, and the type of data the model will process. Hyperparameter Selection: Determine optimal hyperparameters (learning rate, batch size, number of layers, etc.) that govern the model's training process. These choices impact training time, convergence, and the model's accuracy. Evaluation Metrics: Define metrics (e.g., accuracy, perplexity, BLEU score) to track the model's performance during training and identify areas for improvement.","Development | This phase transforms the prepared data and computational resources into a functional LLM | Design | Model Architecture: Choose a suitable LLM architecture (e.g., Transformer-based, Recurrent Neural Networks) based on the model's intended tasks. Consider factors like performance requirements, computational constraints, and the type of data the model will process. Hyperparameter Selection: Determine optimal hyperparameters (learning rate, batch size, number of layers, etc.) that govern the model's training process. These choices impact training time, convergence, and the model's accuracy. Evaluation Metrics: Define metrics (e.g., accuracy, perplexity, BLEU score) to track the model's performance during training and identify areas for improvement."
LLM Taxonomy,Training,"Training process: Feed the curated data into the chosen model architecture. Update the model's parameters iteratively, using an optimization algorithm (like gradient descent) to minimize errors in the training data. Monitoring: Closely monitor training progress with the defined evaluation metrics. Look for signs of overfitting or underfitting and adjust the training strategy or hyperparameters accordingly. Experimentation: Adopt an iterative approach. Test different model architectures, hyperparameters, and data preprocessing techniques to find the best configuration. Tokenization: This involves breaking down the input text into smaller units called tokens, which can be individual words, subword units, or even individual characters. Its main purpose is to convert raw text into a numerical format that can be processed by the LLM's neural network by mapping each token to a unique integer value or embedding vector. Tokenization directly affects how the input text is represented and processed by the model, making it a fundamental step in the pipeline of LLMs, as proper tokenization can improve the model's ability to understand and generate natural language while ensuring computational efficiency.","Training | Training process: Feed the curated data into the chosen model architecture. Update the model's parameters iteratively, using an optimization algorithm (like gradient descent) to minimize errors in the training data. Monitoring: Closely monitor training progress with the defined evaluation metrics. Look for signs of overfitting or underfitting and adjust the training strategy or hyperparameters accordingly. Experimentation: Adopt an iterative approach. Test different model architectures, hyperparameters, and data preprocessing techniques to find the best configuration. Tokenization: This involves breaking down the input text into smaller units called tokens, which can be individual words, subword units, or even individual characters. Its main purpose is to convert raw text into a numerical format that can be processed by the LLM's neural network by mapping each token to a unique integer value or embedding vector. Tokenization directly affects how the input text is represented and processed by the model, making it a fundamental step in the pipeline of LLMs, as proper tokenization can improve the model's ability to understand and generate natural language while ensuring computational efficiency."
LLM Taxonomy,Guardrails,Prevent unintended or harmful model behaviors during the development and delivery process Key Components: Input filtering mechanisms to block potentially harmful queries Output screening to detect and prevent generation of inappropriate content Ethical constraint embeddings that limit the model's response generation Bias detection and mitigation techniques Domain-specific content restrictions Implementation Requirements: Rule-based filtering systems Machine learning-based content classification Dynamic threshold adjustments Comprehensive test cases covering potential misuse scenarios,Guardrails | Prevent unintended or harmful model behaviors during the development and delivery process Key Components: Input filtering mechanisms to block potentially harmful queries Output screening to detect and prevent generation of inappropriate content Ethical constraint embeddings that limit the model's response generation Bias detection and mitigation techniques Domain-specific content restrictions Implementation Requirements: Rule-based filtering systems Machine learning-based content classification Dynamic threshold adjustments Comprehensive test cases covering potential misuse scenarios
LLM Taxonomy,Supply Chain,"Foundation Models: Consider leveraging pre-trained foundation models (e.g., GPT-3, BERT) that offer a strong starting point and fine-tune them with your specific data for tailored results. Components: Evaluate the need for specialized components for tasks like named entity recognition, sentiment analysis, or text summarization. Choose pre-built open-source or closed-source components or develop custom ones. Frameworks: Select a machine learning framework (e.g., TensorFlow, PyTorch, Ray) that simplifies model development, training, and deployment.","Supply Chain | Foundation Models: Consider leveraging pre-trained foundation models (e.g., GPT-3, BERT) that offer a strong starting point and fine-tune them with your specific data for tailored results. Components: Evaluate the need for specialized components for tasks like named entity recognition, sentiment analysis, or text summarization. Choose pre-built open-source or closed-source components or develop custom ones. Frameworks: Select a machine learning framework (e.g., TensorFlow, PyTorch, Ray) that simplifies model development, training, and deployment."
