control_domain,control_title,control_id,control_specification,question_id,consensus_assessments_question,control_type,relevant_threat_categories,relevant_stack_components,used_by_agent,criticality
Audit & Assurance,Audit and Assurance Policy and Procedures,A&A-01,"Establish, document, approve, communicate, apply, evaluate and maintain audit and assurance policies and procedures and standards. Review and update the policies and procedures at least annually or upon significant changes.",A&A-01.1,"Are audit and assurance policies, procedures, and standards established, documented, approved, communicated, applied, evaluated, and maintained?",Cloud & AI Related,"Model manipulation, Data poisoning, Sensitive data disclosure, Model theft, Model/Service Failure/Malfunctioning, Insecure supply chain, Insecure apps/plugins, Denial of Service (DoS), Loss of governance/compliance","Phys, Network, Compute, Storage, App, Data",missing_info_agent; validation_agent; final_output_agent,
,,,,A&A-01.2,"Are audit and assurance policies, procedures, and standards reviewed and updated at least annually or upon significant changes?",,,,missing_info_agent; validation_agent; final_output_agent,
Audit & Assurance,Independent Assessments,A&A-02,Conduct independent audit and assurance assessments according to relevant standards at least annually.,A&A-02.1,Are independent audit and assurance assessments conducted according to relevant standards at least annually?,Cloud & AI Related,"Model manipulation, Data poisoning, Sensitive data disclosure, Model theft, Model/Service Failure/Malfunctioning, Insecure supply chain, Insecure apps/plugins, Denial of Service (DoS), Loss of governance/compliance","Phys, Network, Compute, Storage, App, Data",missing_info_agent; validation_agent; final_output_agent,
Audit & Assurance,Risk Based Planning Assessment,A&A-03,Perform independent audit and assurance assessments in response to significant changes or emerging risks and according to risk-based plans and policies.,A&A-03.1,Are independent audit and assurance assessments performed in response to significant changes or emerging risks and according to risk-based plans and policies?,Cloud & AI Related,"Model manipulation, Data poisoning, Sensitive data disclosure, Model theft, Model/Service Failure/Malfunctioning, Insecure supply chain, Insecure apps/plugins, Loss of governance/compliance","Phys, Network, Compute, Storage, App, Data",missing_info_agent; validation_agent; final_output_agent,
Audit & Assurance,Requirements Compliance,A&A-04,"Verify compliance with all relevant standards, regulations, legal/contractual, and statutory requirements applicable to the audit.",A&A-04.1,"Is compliance verified with all relevant standards, regulations, legal/contractual, and statutory requirements applicable to the audit?",Cloud & AI Related,"Model manipulation, Data poisoning, Sensitive data disclosure, Model theft, Model/Service Failure/Malfunctioning, Insecure supply chain, Insecure apps/plugins, Denial of Service (DoS), Loss of governance/compliance","Phys, Network, Compute, Storage, App, Data",missing_info_agent; validation_agent; final_output_agent,
Audit & Assurance,Audit Management Process,A&A-05,"Define and implement an Audit Management process aligned with global auditing standards, to support audit planning, risk analysis, security control assessment, conclusion, remediation schedules, report generation, and review of past reports and supporting evidence.",A&A-05.1,"Are Audit Management processes aligned with global auditing standards, defined and implemented to support audit planning, risk analysis, security control assessment, conclusion, remediation schedules, report generation, review of past reports and supporting evidence?",Cloud & AI Related,"Model manipulation, Data poisoning, Sensitive data disclosure, Model theft, Model/Service Failure/Malfunctioning, Insecure supply chain, Insecure apps/plugins, Denial of Service (DoS), Loss of governance/compliance","Phys, Network, Compute, Storage, App, Data",missing_info_agent; validation_agent; final_output_agent,
Audit & Assurance,Remediation,A&A-06,"Establish, document, approve, communicate, apply, evaluate and maintain a risk-based corrective action plan to remediate audit findings, regularly review and report remediation status to relevant stakeholders.",A&A-06.1,"Is a risk-based corrective action plan established, documented, approved, communicated, applied, evaluated, and maintained to remediate audit findings, regularly review, and report remediation status to relevant stakeholders?",Cloud & AI Related,"Model manipulation, Data poisoning, Sensitive data disclosure, Model theft, Model/Service Failure/Malfunctioning, Insecure supply chain, Insecure apps/plugins, Denial of Service (DoS), Loss of governance/compliance","Phys, Network, Compute, Storage, App, Data",missing_info_agent; validation_agent; final_output_agent,
Application & Interface Security,Application and Interface Security Policy and Procedures,AIS-01,"Establish, document, approve, communicate, apply, evaluate and maintain policies and procedures for application security. Review and update the policies and procedures at least annually or after significant system changes.",AIS-01.1,"Are policies and procedures for application security established, documented, approved, communicated, applied, evaluated, and maintained?",Cloud & AI Related,"Sensitive data disclosure, Model theft, Model/Service Failure/Malfunctioning, Insecure supply chain, Insecure apps/plugins, Loss of governance/compliance","Network, Compute, Storage, App, Data",missing_info_agent; validation_agent; final_output_agent,
,,,,AIS-01.2,Are the policies and procedures for application security reviewed and updated at least annually or upon significant system changes?,,,,missing_info_agent; validation_agent; final_output_agent,
Application & Interface Security,Application Security Baseline Requirements,AIS-02,"Establish, document and maintain baseline requirements for securing applications.""",AIS-02.1,"Are baseline requirements for securing applications established, documented, and maintained?",Cloud & AI Related,"Model manipulation, Data poisoning, Sensitive data disclosure, Model theft, Model/Service Failure/Malfunctioning, Insecure supply chain, Insecure apps/plugins, Denial of Service (DoS), Loss of governance/compliance","Network, Compute, Storage, App, Data",missing_info_agent; validation_agent; final_output_agent,
