control_domain,control_title,control_id,control_specification,control_type,genai_ops_processing_infrastructure_pi,model,orchestrated_services,application,is_relevant_phys,is_relevant_network,is_relevant_compute,is_relevant_storage,is_relevant_app,is_relevant_data,preparation_relevance,development_relevance,evaluation_validation_relevance,deployment_relevance,delivery_relevance,service_retirement_relevance,threat_model_manipulation,threat_data_poisoning,threat_sensitive_data_disclosure,threat_model_theft,threat_model_service_failure_malfunctioning,threat_insecure_supply_chain,threat_insecure_apps_plugins,threat_denial_of_service_dos,threat_loss_of_governance_compliance,relevant_stack_components,relevant_threat_categories,has_deployment_relevance,has_delivery_relevance,has_service_retirement_relevance,is_ai_specific,is_cloud_specific,is_cloud_and_ai_related
Audit & Assurance,Audit and Assurance Policy and Procedures,A&A-01,"Establish, document, approve, communicate, apply, evaluate and maintain audit and assurance policies and procedures and standards. Review and update the policies and procedures at least annually or upon significant changes.",Cloud & AI Related,Shared across the supply chain,Owned by the Model Provider (MP),Owned by the Orchestrated Service Provider (OSP),Owned by the Application Provider (AP),True,True,True,True,True,True,"Data collection, Data curation, Data storage","Design, Guardrails, Training","Evaluation, Validation/Red Teaming, Re-evaluation",AI Services supply chain,Continuous improvement,"Data deletion, Archiving, Model disposal",True,True,True,True,True,True,True,True,True,"Phys, Network, Compute, Storage, App, Data","Model manipulation, Data poisoning, Sensitive data disclosure, Model theft, Model/Service Failure/Malfunctioning, Insecure supply chain, Insecure apps/plugins, Denial of Service (DoS), Loss of governance/compliance",True,True,True,False,False,True
Audit & Assurance,Independent Assessments,A&A-02,Conduct independent audit and assurance assessments according to relevant standards at least annually.,Cloud & AI Related,Shared across the supply chain,Owned by the Model Provider (MP),Owned by the Orchestrated Service Provider (OSP),Owned by the Application Provider (AP),True,True,True,True,True,True,"Data collection, Data curation, Data storage","Design, Training, Guardrails","Evaluation, Validation/Red Teaming, Re-evaluation","AI Services supply chain, AI applications, Orchestration","Continuous monitoring, Continuous improvement, Operations, Maintenance","Data deletion, Model disposal, Archiving",True,True,True,True,True,True,True,True,True,"Phys, Network, Compute, Storage, App, Data","Model manipulation, Data poisoning, Sensitive data disclosure, Model theft, Model/Service Failure/Malfunctioning, Insecure supply chain, Insecure apps/plugins, Denial of Service (DoS), Loss of governance/compliance",True,True,True,False,False,True
Audit & Assurance,Risk Based Planning Assessment,A&A-03,Perform independent audit and assurance assessments in response to significant changes or emerging risks and according to risk-based plans and policies.,Cloud & AI Related,Shared Cloud Service Provider-Model Provider (Shared CSP-MP),Owned by the Model Provider (MP),Owned by the Orchestrated Service Provider (OSP),Owned by the Application Provider (AP),True,True,True,True,True,True,"Data collection, Data curation, Data storage","Design, Training, Guardrails","Evaluation, Validation/Red Teaming, Re-evaluation","AI Services supply chain, AI applications",Continuous improvement,"Archiving, Data deletion, Model disposal",True,True,True,True,True,True,True,False,True,"Phys, Network, Compute, Storage, App, Data","Model manipulation, Data poisoning, Sensitive data disclosure, Model theft, Model/Service Failure/Malfunctioning, Insecure supply chain, Insecure apps/plugins, Loss of governance/compliance",True,True,True,False,False,True
Audit & Assurance,Requirements Compliance,A&A-04,"Verify compliance with all relevant standards, regulations, legal/contractual, and statutory requirements applicable to the audit.",Cloud & AI Related,Shared Cloud Service Provider-Model Provider (Shared CSP-MP),Owned by the Model Provider (MP),Owned by the Orchestrated Service Provider (OSP),Owned by the Application Provider (AP),True,True,True,True,True,True,"Data collection, Data curation, Data storage","Design, Training, Guardrails","Evaluation, Validation/Red Teaming, Re-evaluation","AI Services supply chain, AI applications","Operations, Maintenance, Continuous improvement","Archiving, Data deletion, Model disposal",True,True,True,True,True,True,True,True,True,"Phys, Network, Compute, Storage, App, Data","Model manipulation, Data poisoning, Sensitive data disclosure, Model theft, Model/Service Failure/Malfunctioning, Insecure supply chain, Insecure apps/plugins, Denial of Service (DoS), Loss of governance/compliance",True,True,True,False,False,True
Audit & Assurance,Audit Management Process,A&A-05,"Define and implement an Audit Management process aligned with global auditing standards, to support audit planning, risk analysis, security control assessment, conclusion, remediation schedules, report generation, and review of past reports and supporting evidence.",Cloud & AI Related,Shared Cloud Service Provider-Model Provider (Shared CSP-MP),Owned by the Model Provider (MP),Owned by the Orchestrated Service Provider (OSP),Owned by the Application Provider (AP),True,True,True,True,True,True,,Guardrails,"Evaluation, Validation/Red Teaming, Re-evaluation","AI Services supply chain, AI applications","Continuous improvement, Operations, Maintenance, Continuous monitoring","Archiving, Data deletion, Model disposal",True,True,True,True,True,True,True,True,True,"Phys, Network, Compute, Storage, App, Data","Model manipulation, Data poisoning, Sensitive data disclosure, Model theft, Model/Service Failure/Malfunctioning, Insecure supply chain, Insecure apps/plugins, Denial of Service (DoS), Loss of governance/compliance",True,True,True,False,False,True
Audit & Assurance,Remediation,A&A-06,"Establish, document, approve, communicate, apply, evaluate and maintain a risk-based corrective action plan to remediate audit findings, regularly review and report remediation status to relevant stakeholders.",Cloud & AI Related,Shared Cloud Service Provider-Model Provider (Shared CSP-MP),Owned by the Model Provider (MP),Owned by the Orchestrated Service Provider (OSP),Owned by the Application Provider (AP),True,True,True,True,True,True,,"Design, Training, Guardrails","Re-evaluation, Validation/Red Teaming, Evaluation","AI applications, AI Services supply chain",Continuous improvement,"Model disposal, Data deletion, Archiving",True,True,True,True,True,True,True,True,True,"Phys, Network, Compute, Storage, App, Data","Model manipulation, Data poisoning, Sensitive data disclosure, Model theft, Model/Service Failure/Malfunctioning, Insecure supply chain, Insecure apps/plugins, Denial of Service (DoS), Loss of governance/compliance",True,True,True,False,False,True
Application & Interface Security,Application and Interface Security Policy and Procedures,AIS-01,"Establish, document, approve, communicate, apply, evaluate and maintain policies and procedures for application security. Review and update the policies and procedures at least annually or after significant system changes.",Cloud & AI Related,Shared Cloud Service Provider-Model Provider (Shared CSP-MP),Owned by the Model Provider (MP),Shared Orchestrated Service Provider-Application Provider (Shared OSP-AP),Owned by the Application Provider (AP),False,True,True,True,True,True,"Data collection, Data curation, Data storage","Training, Design, Guardrails","Evaluation, Validation/Red Teaming, Re-evaluation","AI Services supply chain, AI applications, Orchestration","Continuous monitoring, Continuous improvement, Maintenance, Operations","Archiving, Model disposal, Data deletion",False,False,True,True,True,True,True,False,True,"Network, Compute, Storage, App, Data","Sensitive data disclosure, Model theft, Model/Service Failure/Malfunctioning, Insecure supply chain, Insecure apps/plugins, Loss of governance/compliance",True,True,True,False,False,True
Application & Interface Security,Application Security Baseline Requirements,AIS-02,"Establish, document and maintain baseline requirements for securing applications.""",Cloud & AI Related,Shared Cloud Service Provider-Model Provider (Shared CSP-MP),Owned by the Model Provider (MP),Shared Orchestrated Service Provider-Application Provider (Shared OSP-AP),Owned by the Application Provider (AP),False,True,True,True,True,True,"Data storage, Data curation, Data collection","Design, Guardrails, Supply Chain, Training","Validation/Red Teaming, Evaluation, Re-evaluation","AI Services supply chain, AI applications","Continuous monitoring, Continuous improvement, Maintenance, Operations",Archiving,True,True,True,True,True,True,True,True,True,"Network, Compute, Storage, App, Data","Model manipulation, Data poisoning, Sensitive data disclosure, Model theft, Model/Service Failure/Malfunctioning, Insecure supply chain, Insecure apps/plugins, Denial of Service (DoS), Loss of governance/compliance",True,True,True,False,False,True
Application & Interface Security,Application Security Metrics,AIS-03,"Define and implement technical and operational metrics in alignment with business objectives, security requirements, and compliance obligations.",Cloud & AI Related,Shared Cloud Service Provider-Model Provider (Shared CSP-MP),Owned by the Model Provider (MP),Shared Orchestrated Service Provider-Application Provider (Shared OSP-AP),Owned by the Application Provider (AP),False,True,True,True,True,True,Resource provisioning,"Guardrails, Design","Validation/Red Teaming, Evaluation, Re-evaluation","AI applications, AI Services supply chain","Continuous monitoring, Continuous improvement, Operations",Archiving,False,False,True,False,True,False,True,True,True,"Network, Compute, Storage, App, Data","Sensitive data disclosure, Model/Service Failure/Malfunctioning, Insecure apps/plugins, Denial of Service (DoS), Loss of governance/compliance",True,True,True,False,False,True
Application & Interface Security,Secure Application Development Lifecycle,AIS-04,"Define and implement a secure software development lifecycle (SDLC) process for application requirements analysis, planning, design, development, testing, deployment, and operation in accordance with security requirements defined by the organization.",Cloud & AI Related,Shared Cloud Service Provider-Model Provider (Shared CSP-MP),Owned by the Model Provider (MP),Owned by the Orchestrated Service Provider (OSP),Owned by the Application Provider (AP),False,True,True,True,True,True,"Resource provisioning, Team and expertise","Guardrails, Supply Chain, Design","Validation/Red Teaming, Evaluation, Re-evaluation","AI applications, AI Services supply chain, Orchestration","Continuous monitoring, Continuous improvement, Operations, Maintenance",Archiving,True,True,True,True,True,True,True,True,True,"Network, Compute, Storage, App, Data","Model manipulation, Data poisoning, Sensitive data disclosure, Model theft, Model/Service Failure/Malfunctioning, Insecure supply chain, Insecure apps/plugins, Denial of Service (DoS), Loss of governance/compliance",True,True,True,False,False,True
